test_name,iteration,mode,duration_ms,output_bytes,ttfb_ms
shell_cmd_init,1,cold,68.0,11,
shell_open,1,cold,59.5,378,
shell_spawn,1,cold,81.9,31691,
stdout_capture,1,cold,70.0,16,
shell_exec_init,1,cold,201.0,175,
file_edit,1,cold,74.8,0,
git_log_init,1,cold,69.6,156,
git_diff,1,cold,68.5,618,
lookup_capture,1,cold,68.7,4601,
tool_lookup,1,cold,144.0,529,
shell_cmd_init,1,warm,67.0,11,
shell_open,1,warm,111.7,378,
shell_spawn,1,warm,84.8,31691,
stdout_capture,1,warm,68.6,16,
shell_exec_init,1,warm,146.6,175,
file_edit,1,warm,98.1,0,
git_log_init,1,warm,65.0,156,
git_diff,1,warm,67.7,618,
lookup_capture,1,warm,69.8,4601,
tool_lookup,1,warm,71.8,529,
shell_cmd_init,2,warm,71.8,11,
shell_open,2,warm,55.9,378,
shell_spawn,2,warm,83.4,31691,
stdout_capture,2,warm,71.4,16,
shell_exec_init,2,warm,202.0,175,
file_edit,2,warm,85.8,0,
git_log_init,2,warm,69.3,156,
git_diff,2,warm,67.2,618,
lookup_capture,2,warm,65.1,4601,
tool_lookup,2,warm,73.0,529,
shell_cmd_init,3,warm,67.0,11,
shell_open,3,warm,57.7,378,
shell_spawn,3,warm,78.9,31691,
stdout_capture,3,warm,71.4,16,
shell_exec_init,3,warm,142.3,175,
file_edit,3,warm,90.7,0,
git_log_init,3,warm,65.4,156,
git_diff,3,warm,67.3,618,
lookup_capture,3,warm,64.5,4601,
tool_lookup,3,warm,72.7,529,
