test_name,iteration,mode,duration_ms,output_bytes,ttfb_ms
shell_cmd_init,1,cold,35.1,11,
shell_open,1,cold,28.7,378,
shell_spawn,1,cold,41.9,31691,
stdout_capture,1,cold,39.6,16,
shell_exec_init,1,cold,101.1,175,
file_edit,1,cold,29.1,0,
git_log_init,1,cold,36.6,156,
git_diff,1,cold,39.8,618,
lookup_capture,1,cold,37.2,4601,
tool_lookup,1,cold,48.7,529,
shell_cmd_init,1,warm,38.5,11,
shell_open,1,warm,26.1,378,
shell_spawn,1,warm,40.5,31691,
stdout_capture,1,warm,38.5,16,
shell_exec_init,1,warm,95.4,175,
file_edit,1,warm,28.0,0,
git_log_init,1,warm,38.0,156,
git_diff,1,warm,39.5,618,
lookup_capture,1,warm,38.1,4601,
tool_lookup,1,warm,43.4,529,
shell_cmd_init,2,warm,34.6,11,
shell_open,2,warm,25.6,378,
shell_spawn,2,warm,42.4,31691,
stdout_capture,2,warm,38.2,16,
shell_exec_init,2,warm,93.6,175,
file_edit,2,warm,27.9,0,
git_log_init,2,warm,37.8,156,
git_diff,2,warm,39.0,618,
lookup_capture,2,warm,36.9,4601,
tool_lookup,2,warm,46.3,529,
shell_cmd_init,3,warm,36.6,11,
shell_open,3,warm,25.3,378,
shell_spawn,3,warm,41.3,31691,
stdout_capture,3,warm,38.8,16,
shell_exec_init,3,warm,110.1,175,
file_edit,3,warm,28.0,0,
git_log_init,3,warm,36.3,156,
git_diff,3,warm,39.1,618,
lookup_capture,3,warm,37.0,4601,
tool_lookup,3,warm,44.4,529,
shell_cmd_init,4,warm,45.2,11,
shell_open,4,warm,26.0,378,
shell_spawn,4,warm,40.5,31691,
stdout_capture,4,warm,39.6,16,
shell_exec_init,4,warm,96.4,175,
file_edit,4,warm,29.8,0,
git_log_init,4,warm,36.1,156,
git_diff,4,warm,39.0,618,
lookup_capture,4,warm,36.9,4601,
tool_lookup,4,warm,43.4,529,
shell_cmd_init,5,warm,49.2,11,
shell_open,5,warm,25.3,378,
shell_spawn,5,warm,42.7,31691,
stdout_capture,5,warm,39.1,16,
shell_exec_init,5,warm,96.5,175,
file_edit,5,warm,28.3,0,
git_log_init,5,warm,38.3,156,
git_diff,5,warm,38.9,618,
lookup_capture,5,warm,37.3,4601,
tool_lookup,5,warm,44.2,529,
cc_baseline,1,warm,5675.2,2,5341.5
cc_bash_tool,1,warm,8647.7,20,8362.5
cc_read_tool,1,warm,7511.8,168,7178.4
cc_edit_tool,1,warm,12007.8,65,11593.2
cc_git_tool,1,warm,10715.8,145,10494.1
cc_multi_tool,1,warm,41207.1,21,41033.1
cc_baseline,2,warm,6564.3,2,6278.0
cc_bash_tool,2,warm,9625.7,20,9371.3
cc_read_tool,2,warm,7296.2,168,7075.0
cc_edit_tool,2,warm,10045.5,65,9757.9
cc_git_tool,2,warm,12120.2,145,11946.1
cc_multi_tool,2,warm,12161.2,30,11925.1
cc_baseline,3,warm,3928.9,2,3691.7
cc_bash_tool,3,warm,7051.1,20,6813.9
cc_read_tool,3,warm,6999.8,168,6667.0
cc_edit_tool,3,warm,20281.8,65,20125.0
cc_git_tool,3,warm,9057.8,127,8819.6
cc_multi_tool,3,warm,14474.5,21,14237.5
cc_baseline,4,warm,4090.6,2,3807.4
cc_bash_tool,4,warm,11419.1,20,11231.0
cc_read_tool,4,warm,10040.3,168,9800.7
cc_edit_tool,4,warm,9158.8,65,8906.5
cc_git_tool,4,warm,13028.4,139,12822.4
cc_multi_tool,4,warm,16430.4,21,16303.7
cc_baseline,5,warm,7275.6,2,6988.5
cc_bash_tool,5,warm,6404.1,20,6150.9
cc_read_tool,5,warm,7522.3,168,7266.6
cc_edit_tool,5,warm,9181.4,65,8911.5
cc_git_tool,5,warm,9098.3,135,8860.6
cc_multi_tool,5,warm,17605.9,30,17432.4
